1194	Amarr Sentry Gun	Sentry Gun	Sentry guns are placed around important space facilities and will attack anyone threatening the place they've been assigned to defend. Sentry guns are very powerful compared to their ease of purchase and deployment. 
3739	Caldari Sentry Gun III	Sentry Gun	Sentry guns are placed around important space facilities and will attack anyone threatening the place they've been assigned to defend. Sentry guns are very powerful compared to their ease of purchase and deployment. 
3740	Caldari Sentry Gun I	Sentry Gun	Sentry guns are placed around important space facilities and will attack anyone threatening the place they've been assigned to defend. Sentry guns are very powerful compared to their ease of purchase and deployment. 
3741	Caldari Sentry Gun II	Sentry Gun	Sentry guns are placed around important space facilities and will attack anyone threatening the place they've been assigned to defend. Sentry guns are very powerful compared to their ease of purchase and deployment. 
3742	Gallente Sentry Gun	Sentry Gun	Sentry guns are placed around important space facilities and will attack anyone threatening the place they've been assigned to defend. Sentry guns are very powerful compared to their ease of purchase and deployment. 
3743	Minmatar Sentry Gun	Sentry Gun	Sentry guns are placed around important space facilities and will attack anyone threatening the place they've been assigned to defend. Sentry guns are very powerful compared to their ease of purchase and deployment. 
9959	Amarr Surveillance Officer	Police Drone	This is a security vessel of the Amarr Navy. It is patrolling this sector and will respond to any combat it detects. It can call in reinforcements from nearby sectors if the need arises. Threat level: Very high
9960	Amarr Surveillance Sergeant Major	Police Drone	This is a security vessel of the Amarr Navy. It is patrolling this sector and will respond to any combat it detects. It can call in reinforcements from nearby sectors if the need arises. Threat level: Deadly
9962	Amarr Surveillance Sergeant	Police Drone	This is a security vessel of the Amarr Navy. It is patrolling this sector and will respond to any combat it detects. It can call in reinforcements from nearby sectors if the need arises. Threat level: Extreme
9965	Caldari Police Vice Commissioner	Police Drone	This is a security vessel of the Caldari Police Force. It is patrolling this sector and will respond to any combat it detects. It can call in reinforcements from nearby sectors if the need arises. Threat level: Deadly
9970	Caldari Police 3rd Lieutenant	Police Drone	This is a security vessel of the Caldari Police Force. It is patrolling this sector and will respond to any combat it detects. It can call in reinforcements from nearby sectors if the need arises. Threat level: Very high
9971	Caldari Police 1st Lieutenant	Police Drone	This is a security vessel of the Caldari Police Force. It is patrolling this sector and will respond to any combat it detects. It can call in reinforcements from nearby sectors if the need arises. Threat level: Deadly
9977	Minmatar Security Officer 2nd Rank	Police Drone	This is a security vessel of the Minmatar Security Service. It is patrolling this sector and will respond to any combat it detects. It can call in reinforcements from nearby sectors if the need arises. Threat level: Extreme
